inlines,xlines,samples,operator,avg_peak_memory_usage
400,100,500,envelope,0.6233207702636718
400,100,500,gaussian-filter,0.25626220703125
400,100,500,gst3d,4.52889404296875
400,100,600,envelope,0.726983642578125
400,100,600,gaussian-filter,0.28604965209960936
400,100,600,gst3d,5.417560577392578
400,100,700,envelope,0.8347282409667969
400,100,700,gaussian-filter,0.315985107421875
400,100,700,gst3d,6.305501556396484
400,100,800,envelope,0.9404533386230469
400,100,800,gaussian-filter,0.3456443786621094
400,100,800,gst3d,7.1931404113769535
400,200,100,envelope,0.31140823364257814
400,200,100,gaussian-filter,0.16643218994140624
400,200,100,gst3d,1.8973403930664063
400,200,200,envelope,0.5147216796875
400,200,200,gaussian-filter,0.22627105712890624
400,200,200,gst3d,3.6588592529296875
400,200,300,envelope,0.7293922424316406
400,200,300,gaussian-filter,0.28595733642578125
400,200,300,gst3d,5.451636505126953
400,200,400,envelope,0.9358009338378906
400,200,400,gaussian-filter,0.34543304443359374
400,200,400,gst3d,7.2431793212890625
400,200,500,envelope,1.1465354919433595
400,200,500,gaussian-filter,0.40518646240234374
400,200,500,gst3d,9.036791229248047
400,200,600,envelope,1.3540267944335938
400,200,600,gaussian-filter,0.4648582458496094
400,200,600,gst3d,10.828496551513672
400,200,700,envelope,1.5657920837402344
400,200,700,gaussian-filter,0.5245735168457031
400,200,700,gst3d,12.621051788330078
400,200,800,envelope,1.7715873718261719
400,200,800,gaussian-filter,0.5841560363769531
400,200,800,gst3d,14.414570617675782
400,300,100,envelope,0.41113128662109377
400,300,100,gaussian-filter,0.19643936157226563
400,300,100,gst3d,2.754904937744141
400,300,200,envelope,0.7248268127441406
400,300,200,gaussian-filter,0.2859931945800781
400,300,200,gst3d,5.451318359375
400,300,300,envelope,1.0436981201171875
400,300,300,gaussian-filter,0.37521896362304685
400,300,300,gst3d,8.148724365234376
400,300,400,envelope,1.35550537109375
400,300,400,gaussian-filter,0.4646728515625
400,300,400,gst3d,10.845281982421875
400,300,500,envelope,1.6663131713867188
400,300,500,gaussian-filter,0.5541107177734375
400,300,500,gst3d,13.542898559570313
400,300,600,envelope,1.982018280029297
400,300,600,gaussian-filter,0.6437286376953125
400,300,600,gst3d,16.240779876708984
400,300,700,envelope,2.2926872253417967
400,300,700,gaussian-filter,0.732928466796875
400,300,700,gst3d,18.937584686279298
400,300,800,envelope,2.606365966796875
400,300,800,gaussian-filter,0.82255859375
400,300,800,gst3d,21.635007476806642
400,400,100,envelope,0.5183059692382812
400,400,100,gaussian-filter,0.226287841796875
400,400,100,gst3d,3.6411537170410155
400,400,200,envelope,0.9366012573242187
400,400,200,gaussian-filter,0.34554367065429686
400,400,200,gst3d,7.244012451171875
400,400,300,envelope,1.3529693603515625
400,400,300,gaussian-filter,0.4647377014160156
400,400,300,gst3d,10.845772552490235
400,400,400,envelope,1.7713600158691407
400,400,400,gaussian-filter,0.5838859558105469
400,400,400,gst3d,14.447705078125
400,400,500,envelope,2.191997528076172
400,400,500,gaussian-filter,0.7030738830566406
400,400,500,gst3d,18.049723815917968
400,400,600,envelope,2.607941436767578
400,400,600,gaussian-filter,0.8225273132324219
400,400,600,gst3d,21.6524169921875
400,400,700,envelope,3.0265968322753904
400,400,700,gaussian-filter,0.9416244506835938
400,400,700,gst3d,25.253839874267577
400,400,800,envelope,3.4428367614746094
400,400,800,gaussian-filter,1.0607322692871093
400,400,800,gst3d,28.855835723876954
400,500,100,envelope,0.6249099731445312
400,500,100,gaussian-filter,0.25625152587890626
400,500,100,gst3d,4.529389953613281
400,500,200,envelope,1.14317626953125
400,500,200,gaussian-filter,0.4051704406738281
400,500,200,gst3d,9.036542510986328
400,500,300,envelope,1.667047119140625
400,500,300,gaussian-filter,0.5539962768554687
400,500,300,gst3d,13.543212890625
400,500,400,envelope,2.1888877868652346
400,500,400,gaussian-filter,0.7030128479003906
