tool,step,memory_mb
traceq_kernel,112,4169.96953125
traceq_kernel,113,4266.74140625
traceq_kernel,114,4317.14140625
traceq_kernel,115,4367.94140625
traceq_kernel,116,4418.34140625
traceq_kernel,117,4472.74140625
traceq_kernel,118,4523.54140625
traceq_kernel,119,4573.94140625
traceq_kernel,120,4624.34140625
traceq_kernel,121,4675.14140625
traceq_kernel,122,4728.34140625
traceq_kernel,123,4779.14140625
traceq_kernel,124,4831.94140625
traceq_kernel,125,4884.74140625
traceq_kernel,126,4936.34140625
traceq_kernel,127,4986.34140625
traceq_kernel,128,5037.14140625
traceq_kernel,129,5091.14140625
traceq_kernel,130,5141.14140625
traceq_kernel,131,5194.74140625
traceq_kernel,132,5245.54140625
traceq_kernel,133,5298.34140625
traceq_kernel,134,5349.14140625
traceq_kernel,135,5399.94140625
traceq_kernel,136,5450.34140625
traceq_kernel,137,5500.34140625
traceq_kernel,138,5550.74140625
traceq_kernel,139,5604.74140625
traceq_kernel,140,5655.54140625
traceq_kernel,141,5709.94140625
traceq_kernel,142,5760.74140625
traceq_kernel,143,5811.94140625
traceq_kernel,144,5202.784375
traceq_kernel,145,2950.11328125
traceq_kernel,146,2708.55625
traceq_kernel,147,2790.55625
traceq_kernel,148,2873.75625
traceq_kernel,149,2955.75625
traceq_kernel,150,3036.95625
traceq_kernel,151,3119.75625
traceq_kernel,152,3202.95625
traceq_kernel,153,3289.35625
traceq_kernel,154,3350.1630859375
traceq_kernel,155,2174.51953125
traceq_resource,0,427.4953125
traceq_resource,1,956.46640625
traceq_resource,2,1044.40234375
traceq_resource,3,1134.00234375
traceq_resource,4,1224.40234375
traceq_resource,5,1321.60234375
traceq_resource,6,1412.80234375
traceq_resource,7,1503.20234375
traceq_resource,8,1596.40234375
traceq_resource,9,1686.40234375
traceq_resource,10,1777.20234375
traceq_resource,11,1868.00234375
traceq_resource,12,1954.00234375
traceq_resource,13,2038.40234375
traceq_resource,14,2126.80234375
traceq_resource,15,2217.60234375
traceq_resource,16,2309.20234375
traceq_resource,17,2400.00234375
traceq_resource,18,2490.40234375
traceq_resource,19,2551.52734375
traceq_resource,20,2571.27734375
traceq_resource,21,2571.47734375
traceq_resource,22,2571.47734375
traceq_resource,23,2571.47734375
traceq_resource,24,2571.47734375
traceq_resource,25,2571.47734375
traceq_resource,26,2571.47734375
traceq_resource,27,2571.47734375
traceq_resource,28,2571.47734375
traceq_resource,29,2571.47734375
traceq_resource,30,2571.47734375
traceq_resource,31,2571.47734375
traceq_resource,32,2571.47734375
traceq_resource,33,2571.47734375
traceq_resource,34,2571.47734375
traceq_resource,35,2571.47734375
traceq_resource,36,2571.47734375
traceq_resource,37,2571.47734375
traceq_resource,38,2571.47734375
traceq_resource,39,2571.47734375
traceq_resource,40,2571.47734375
traceq_resource,41,2571.47734375
traceq_resource,42,2571.47734375
traceq_resource,43,2571.47734375
traceq_resource,44,2571.47734375
traceq_resource,45,2571.47734375
traceq_resource,46,2571.47734375
traceq_resource,47,2571.47734375
traceq_resource,48,2571.47734375
traceq_resource,49,2571.47734375
traceq_resource,50,2571.47734375
traceq_resource,51,2571.47734375
traceq_resource,52,2633.90859375
traceq_resource,53,2764.33984375
traceq_resource,54,2954.35546875
traceq_resource,55,3157.95546875
traceq_resource,56,3371.95546875
traceq_resource,57,3571.95546875
traceq_resource,58,3775.95546875
traceq_resource,59,3993.55546875
traceq_resource,60,4143.9703125
traceq_resource,61,4262.81875
traceq_resource,62,4320.44296875
traceq_resource,63,4370.04296875
traceq_resource,64,4420.84296875
traceq_resource,65,4470.84296875
traceq_resource,66,4520.04296875
traceq_resource,67,4570.04296875
traceq_resource,68,4620.04296875
traceq_resource,69,4672.04296875
traceq_resource,70,4726.04296875
traceq_resource,71,4776.04296875
traceq_resource,72,4830.44296875
traceq_resource,73,4882.04296875
traceq_resource,74,4933.64296875
traceq_resource,75,4983.24296875
traceq_resource,76,5034.04296875
traceq_resource,77,5084.04296875
traceq_resource,78,5133.64296875
traceq_resource,79,5183.64296875
traceq_resource,80,5233.64296875
traceq_resource,81,5284.44296875
traceq_resource,82,5341.24296875
traceq_resource,83,5391.24296875
traceq_resource,84,5441.24296875
traceq_resource,85,5491.24296875
traceq_resource,86,5542.04296875
traceq_resource,87,5592.04296875
traceq_resource,88,5641.24296875
traceq_resource,89,5694.04296875
traceq_resource,90,5748.84296875
traceq_resource,91,5798.84296875
traceq_resource,92,5838.79296875
traceq_resource,93,5861.54296875
traceq_resource,94,5867.51796875
traceq_resource,95,5867.51796875
traceq_resource,96,5867.51796875
traceq_resource,97,5867.51796875
traceq_resource,98,5867.51796875
traceq_resource,99,5867.51796875
traceq_resource,100,5867.51796875
traceq_resource,101,5867.51796875
traceq_resource,102,5867.51796875
traceq_resource,103,5867.540364583333
traceq_resource,104,5867.5390625
